Layer #,Latency,Energy,EDP,Weight Sparsity,Activation Sparsity,Crossbars used,Tiles Used,R Required,C Required,r,c,Power Density,Original Layer Activations (KB),Activations adjusted by Creq (KB),Chiplet #,Chips Used
1,8.0,4096.0,32768.0,0.93,0.125,1,0.010416666666666666,32,16,32,16,0.005658447265625,6272.0,784.0,1,1
2,8.0,49152.0,393216.0,0.7,4.982461734693877e-06,6,0.0625,32,32,32,32,0.0150390625,1568.0,392.0,1,1
3,8.0,32768.0,262144.0,0.8,4.982461734693877e-06,4,0.041666666666666664,32,32,32,32,0.0150390625,1568.0,392.0,1,1
4,8.0,8192.0,65536.0,0.91,0.0,2,0.020833333333333332,32,16,32,16,0.005658447265625,1568.0,196.0,1,1
5,8.0,8192.0,65536.0,0.94,1.4947385204081632e-05,2,0.020833333333333332,32,16,32,16,0.005658447265625,1568.0,196.0,1,1
6,8.0,16384.0,131072.0,0.91,0.0,4,0.041666666666666664,32,16,32,16,0.005658447265625,784.0,98.0,1,1
7,8.0,32768.0,262144.0,0.89,9.964923469387754e-06,8,0.08333333333333333,32,16,32,16,0.005658447265625,784.0,98.0,1,1
8,8.0,32768.0,262144.0,0.89,0.0,8,0.08333333333333333,32,16,32,16,0.005658447265625,784.0,98.0,1,1
9,8.0,32768.0,262144.0,0.9,2.9894770408163265e-05,8,0.08333333333333333,32,16,32,16,0.005658447265625,784.0,98.0,1,1
10,8.0,49152.0,393216.0,0.92,0.0,12,0.125,32,16,32,16,0.005658447265625,392.0,49.0,1,1
11,8.0,98304.0,786432.0,0.92,0.0,24,0.25,32,16,32,16,0.005658447265625,392.0,49.0,1,1
12,8.0,106496.0,851968.0,0.91,0.0,26,0.2708333333333333,32,16,32,16,0.005658447265625,392.0,49.0,1,1
13,8.0,118784.0,950272.0,0.9,0.0,29,0.3020833333333333,32,16,32,16,0.005658447265625,392.0,49.0,1,1
14,8.0,212992.0,1703936.0,0.91,0.0,52,0.5416666666666666,32,16,32,16,0.005658447265625,196.0,24.5,1,1
15,8.0,8028160.0,64225280.0,0.15,0.0,980,10.208333333333334,32,32,32,32,0.0150390625,196.0,49.0,1,1
16,8.0,7839744.0,62717952.0,0.17,0.0,957,9.96875,32,32,32,32,0.0150390625,196.0,49.0,2,2
17,8.0,7929856.0,63438848.0,0.16,0.0,969,10.09375,32,32,32,32,0.0150390625,196.0,49.0,3,2
18,8.0,1843200.0,14745600.0,0.1,0.0,225,2.34375,32,32,32,32,0.0150390625,7.8125,1.953125,3,1
