Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	93.0	Standard	4 x 16
2	70.0	Standard	4 x 32
3	80.0	Standard	4 x 32
4	91.0	Standard	4 x 16
5	94.0	Standard	4 x 16
6	91.0	Standard	4 x 16
7	89.0	Standard	4 x 16
8	89.0	Standard	4 x 16
9	90.0	Standard	4 x 16
10	92.0	Standard	4 x 16
11	92.0	Standard	4 x 16
12	91.0	Standard	4 x 16
13	90.0	Standard	4 x 16
14	91.0	Standard	4 x 16
15	15.0	Standard	4 x 32
16	17.0	Standard	4 x 32
17	16.0	Standard	4 x 32
18	10.0	Standard	4 x 32
1	93.0	Shared	4 x 4
2	70.0	Shared	4 x 4
3	80.0	Shared	4 x 4
4	91.0	Shared	4 x 4
5	94.0	Shared	4 x 4
6	91.0	Shared	4 x 4
7	89.0	Shared	4 x 4
8	89.0	Shared	4 x 4
9	90.0	Shared	4 x 4
10	92.0	Shared	4 x 4
11	92.0	Shared	4 x 4
12	91.0	Shared	4 x 4
13	90.0	Shared	4 x 4
14	91.0	Shared	4 x 4
15	15.0	Shared	4 x 4
16	17.0	Shared	4 x 4
17	16.0	Shared	4 x 4
18	10.0	Shared	4 x 4
1	93.0	Adder	4 x 4
2	70.0	Adder	4 x 4
3	80.0	Adder	4 x 4
4	91.0	Adder	4 x 4
5	94.0	Adder	4 x 4
6	91.0	Adder	4 x 4
7	89.0	Adder	4 x 4
8	89.0	Adder	4 x 4
9	90.0	Adder	4 x 4
10	92.0	Adder	4 x 4
11	92.0	Adder	4 x 4
12	91.0	Adder	4 x 4
13	90.0	Adder	4 x 4
14	91.0	Adder	4 x 4
15	15.0	Adder	4 x 4
16	17.0	Adder	4 x 4
17	16.0	Adder	4 x 4
18	10.0	Adder	4 x 4
1	93.0	Accumulator	112 x 16
2	70.0	Accumulator	128 x 48
3	80.0	Accumulator	128 x 32
4	91.0	Accumulator	128 x 16
5	94.0	Accumulator	128 x 16
6	91.0	Accumulator	128 x 16
7	89.0	Accumulator	128 x 16
8	89.0	Accumulator	128 x 16
9	90.0	Accumulator	128 x 16
10	92.0	Accumulator	128 x 16
11	92.0	Accumulator	128 x 16
12	91.0	Accumulator	128 x 16
13	90.0	Accumulator	128 x 16
14	91.0	Accumulator	128 x 16
15	15.0	Accumulator	128 x 112
16	17.0	Accumulator	128 x 112
17	16.0	Accumulator	128 x 112
18	10.0	Accumulator	128 x 128
