Layer #	Weight Sparsity (%)	OU Config
1	0.1371173469387755	4 x 4
2	0.146728515625	4 x 4
3	0.0257161458333333	4 x 4
4	0.0248209635416666	4 x 4
5	0.0245768229166666	4 x 4
6	0.0274386935763888	4 x 4
7	0.0309176974826388	4 x 4
8	0.0306803385416666	4 x 4
9	0.0320231119791666	4 x 4
10	0.0351765950520833	4 x 4
11	0.0386081271701388	4 x 4
12	0.04224141438802081	4 x 4
13	0.045286390516493004	4 x 4
14	0.04444461398654511	4 x 4
15	0.0496550665961371	4 x 4
16	0.0469390021430121	4 x 4
17	0.0661964416503906	4 x 4
18	0.013203125	4 x 4
