Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	13.71173469387755	Standard	4 x 32
2	14.6728515625	Standard	4 x 32
3	2.57161458333333	Standard	4 x 32
4	2.48209635416666	Standard	4 x 32
5	2.45768229166666	Standard	4 x 32
6	2.74386935763888	Standard	4 x 32
7	3.09176974826388	Standard	4 x 32
8	3.06803385416666	Standard	4 x 32
9	3.2023111979166603	Standard	4 x 32
10	3.51765950520833	Standard	4 x 32
11	3.86081271701388	Standard	4 x 32
12	4.22414143880208	Standard	4 x 32
13	4.5286390516493	Standard	4 x 32
14	4.444461398654511	Standard	4 x 32
15	4.96550665961371	Standard	4 x 32
16	4.69390021430121	Standard	4 x 32
17	6.61964416503906	Standard	4 x 32
18	1.3203125	Standard	4 x 32
1	13.71173469387755	Shared	4 x 4
2	14.6728515625	Shared	4 x 4
3	2.57161458333333	Shared	4 x 4
4	2.48209635416666	Shared	4 x 4
5	2.45768229166666	Shared	4 x 4
6	2.74386935763888	Shared	4 x 4
7	3.09176974826388	Shared	4 x 4
8	3.06803385416666	Shared	4 x 4
9	3.2023111979166603	Shared	4 x 4
10	3.51765950520833	Shared	4 x 4
11	3.86081271701388	Shared	4 x 4
12	4.22414143880208	Shared	4 x 4
13	4.5286390516493	Shared	4 x 4
14	4.444461398654511	Shared	4 x 4
15	4.96550665961371	Shared	4 x 4
16	4.69390021430121	Shared	4 x 4
17	6.61964416503906	Shared	4 x 4
18	1.3203125	Shared	4 x 4
1	13.71173469387755	Adder	4 x 4
2	14.6728515625	Adder	4 x 4
3	2.57161458333333	Adder	4 x 4
4	2.48209635416666	Adder	4 x 4
5	2.45768229166666	Adder	4 x 4
6	2.74386935763888	Adder	4 x 4
7	3.09176974826388	Adder	4 x 4
8	3.06803385416666	Adder	4 x 4
9	3.2023111979166603	Adder	4 x 4
10	3.51765950520833	Adder	4 x 4
11	3.86081271701388	Adder	4 x 4
12	4.22414143880208	Adder	4 x 4
13	4.5286390516493	Adder	4 x 4
14	4.444461398654511	Adder	4 x 4
15	4.96550665961371	Adder	4 x 4
16	4.69390021430121	Adder	4 x 4
17	6.61964416503906	Adder	4 x 4
18	1.3203125	Adder	4 x 4
1	13.71173469387755	Accumulator	112 x 128
2	14.6728515625	Accumulator	128 x 112
3	2.57161458333333	Accumulator	128 x 128
4	2.48209635416666	Accumulator	128 x 128
5	2.45768229166666	Accumulator	128 x 128
6	2.74386935763888	Accumulator	128 x 128
7	3.09176974826388	Accumulator	128 x 128
8	3.06803385416666	Accumulator	128 x 128
9	3.2023111979166603	Accumulator	128 x 128
10	3.51765950520833	Accumulator	128 x 128
11	3.86081271701388	Accumulator	128 x 128
12	4.22414143880208	Accumulator	128 x 128
13	4.5286390516493	Accumulator	128 x 128
14	4.444461398654511	Accumulator	128 x 128
15	4.96550665961371	Accumulator	128 x 128
16	4.69390021430121	Accumulator	128 x 128
17	6.61964416503906	Accumulator	128 x 128
18	1.3203125	Accumulator	128 x 128
