Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	31.01851851851852	Standard	4 x 32
2	36.22368706597222	Standard	4 x 32
3	10.92325846354166	Standard	4 x 32
4	7.756720648871521	Standard	4 x 32
5	5.541568332248261	Standard	4 x 32
6	7.389110989040789	Standard	4 x 32
7	6.37101067437066	Standard	4 x 32
8	5.46459621853298	Standard	4 x 32
9	18.770119608664988	Standard	4 x 32
10	11.50241494178772	Standard	4 x 32
11	4.945361328125	Standard	4 x 32
1	31.01851851851852	Shared	4 x 4
2	36.22368706597222	Shared	4 x 4
3	10.92325846354166	Shared	4 x 4
4	7.756720648871521	Shared	4 x 4
5	5.541568332248261	Shared	4 x 4
6	7.389110989040789	Shared	4 x 4
7	6.37101067437066	Shared	4 x 4
8	5.46459621853298	Shared	4 x 4
9	18.770119608664988	Shared	4 x 4
10	11.50241494178772	Shared	4 x 4
11	4.945361328125	Shared	4 x 4
1	31.01851851851852	Adder	4 x 4
2	36.22368706597222	Adder	4 x 4
3	10.92325846354166	Adder	4 x 4
4	7.756720648871521	Adder	4 x 4
5	5.541568332248261	Adder	4 x 4
6	7.389110989040789	Adder	4 x 4
7	6.37101067437066	Adder	4 x 4
8	5.46459621853298	Adder	4 x 4
9	18.770119608664988	Adder	4 x 4
10	11.50241494178772	Adder	4 x 4
11	4.945361328125	Adder	4 x 4
1	31.01851851851852	Accumulator	96 x 128
2	36.22368706597222	Accumulator	128 x 96
3	10.92325846354166	Accumulator	128 x 128
4	7.756720648871521	Accumulator	128 x 128
5	5.541568332248261	Accumulator	128 x 128
6	7.389110989040789	Accumulator	128 x 128
7	6.37101067437066	Accumulator	128 x 128
8	5.46459621853298	Accumulator	128 x 128
9	18.770119608664988	Accumulator	128 x 112
10	11.50241494178772	Accumulator	128 x 128
11	4.945361328125	Accumulator	128 x 128
