Layer #	Weight Sparsity (%)	Chiplet	OU Config
1	5.0	Standard	4 x 32
2	50.0	Standard	4 x 32
3	52.0	Standard	4 x 32
4	51.0	Standard	4 x 32
5	55.00000000000001	Standard	4 x 32
6	51.0	Standard	4 x 32
7	56.99999999999999	Standard	4 x 32
8	52.0	Standard	4 x 32
9	63.0	Standard	4 x 32
10	71.0	Standard	4 x 32
11	81.0	Standard	4 x 32
12	85.0	Standard	4 x 32
13	89.0	Standard	4 x 16
14	60.0	Standard	4 x 32
15	65.0	Standard	4 x 32
16	55.00000000000001	Standard	4 x 32
1	5.0	Shared	4 x 4
2	50.0	Shared	4 x 4
3	52.0	Shared	4 x 4
4	51.0	Shared	4 x 4
5	55.00000000000001	Shared	4 x 4
6	51.0	Shared	4 x 4
7	56.99999999999999	Shared	4 x 4
8	52.0	Shared	4 x 4
9	63.0	Shared	4 x 4
10	71.0	Shared	4 x 4
11	81.0	Shared	4 x 4
12	85.0	Shared	4 x 4
13	89.0	Shared	4 x 4
14	60.0	Shared	4 x 4
15	65.0	Shared	4 x 4
16	55.00000000000001	Shared	4 x 4
1	5.0	Adder	4 x 4
2	50.0	Adder	4 x 4
3	52.0	Adder	4 x 4
4	51.0	Adder	4 x 4
5	55.00000000000001	Adder	4 x 4
6	51.0	Adder	4 x 4
7	56.99999999999999	Adder	4 x 4
8	52.0	Adder	4 x 4
9	63.0	Adder	4 x 4
10	71.0	Adder	4 x 4
11	81.0	Adder	4 x 4
12	85.0	Adder	4 x 4
13	89.0	Adder	4 x 4
14	60.0	Adder	4 x 4
15	65.0	Adder	4 x 4
16	55.00000000000001	Adder	4 x 4
1	5.0	Accumulator	128 x 128
2	50.0	Accumulator	128 x 64
3	52.0	Accumulator	112 x 80
4	51.0	Accumulator	128 x 64
5	55.00000000000001	Accumulator	128 x 64
6	51.0	Accumulator	128 x 64
7	56.99999999999999	Accumulator	128 x 64
8	52.0	Accumulator	128 x 64
9	63.0	Accumulator	128 x 48
10	71.0	Accumulator	128 x 48
11	81.0	Accumulator	128 x 32
12	85.0	Accumulator	128 x 32
13	89.0	Accumulator	128 x 16
14	60.0	Accumulator	128 x 64
15	65.0	Accumulator	128 x 48
16	55.00000000000001	Accumulator	128 x 64
