Layer #	Weight Sparsity (%)	OU Config
1	0.3431712962962963	32 x 32
2	0.408203125	32 x 32
3	0.2207438151041666	32 x 32
4	0.2311740451388889	32 x 32
5	0.11216905381944442	32 x 32
6	0.0833604600694444	32 x 32
7	0.044908311631944406	32 x 32
8	0.0504608154296875	32 x 32
9	0.0620083279079861	32 x 32
10	0.0697313944498698	32 x 32
11	0.05397076076931421	32 x 32
12	0.05136617024739581	32 x 32
13	0.0624139573838975	32 x 32
14	0.2153863322978117	32 x 32
15	0.1416109800338745	32 x 32
16	0.063052734375	32 x 32
