Layer: 1, Crossbars required: 1
OU Row: 4, OU Col: 4, OU required: 32, Latency: 1024.0, Energy: 16384.0, EDP: 16777216.00000 J•s, Power Density: 0.00003 W, TOPS: 8.54e-03, EPM: 3.44e-15
OU Row: 4, OU Col: 8, OU required: 16, Latency: 256.0, Energy: 8192.0, EDP: 2097152.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.14e-15
OU Row: 4, OU Col: 12, OU required: 11, Latency: 121.0, Energy: 5808.0, EDP: 702768.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.84e-15
OU Row: 4, OU Col: 16, OU required: 8, Latency: 64.0, Energy: 4096.0, EDP: 262144.00000 J•s, Power Density: 0.00029 W, TOPS: 3.42e-02, EPM: 8.54e-15
OU Row: 8, OU Col: 4, OU required: 16, Latency: 512.0, Energy: 16384.0, EDP: 8388608.00000 J•s, Power Density: 0.00009 W, TOPS: 1.71e-02, EPM: 5.17e-15
OU Row: 8, OU Col: 8, OU required: 8, Latency: 128.0, Energy: 8192.0, EDP: 1048576.00000 J•s, Power Density: 0.00023 W, TOPS: 3.42e-02, EPM: 6.87e-15
OU Row: 8, OU Col: 12, OU required: 6, Latency: 72.0, Energy: 6912.0, EDP: 497664.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.58e-15
OU Row: 8, OU Col: 16, OU required: 4, Latency: 32.0, Energy: 4096.0, EDP: 131072.00000 J•s, Power Density: 0.00070 W, TOPS: 6.84e-02, EPM: 1.03e-14
OU Row: 12, OU Col: 4, OU required: 11, Latency: 363.0, Energy: 17424.0, EDP: 6324912.00000 J•s, Power Density: 0.00018 W, TOPS: 2.56e-02, EPM: 6.91e-15
OU Row: 12, OU Col: 8, OU required: 6, Latency: 108.0, Energy: 10368.0, EDP: 1119744.00000 J•s, Power Density: 0.00044 W, TOPS: 5.13e-02, EPM: 8.61e-15
OU Row: 12, OU Col: 12, OU required: 4, Latency: 48.0, Energy: 6912.0, EDP: 331776.00000 J•s, Power Density: 0.00079 W, TOPS: 7.69e-02, EPM: 1.03e-14
